"No.","Time","Source","Destination","Protocol","Length","Info"
"3804","13.388176163","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3805","13.388176179","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3806","13.388176197","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3807","13.388187366","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3808","13.388187394","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3809","13.388187412","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3810","13.388187427","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3811","13.388187443","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3812","13.388187460","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3813","13.388187475","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3814","13.388187490","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3815","13.388209457","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3816","13.388209478","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3817","13.388209495","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3818","13.388209512","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3819","13.388209528","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3820","13.388209545","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3821","13.388209562","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3822","13.388209578","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3823","13.388226227","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3824","13.388226257","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3825","13.388226275","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3826","13.388226292","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3827","13.388226309","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3828","13.388315612","192.168.43.128","203.75.52.205","QUIC","77","Protected Payload (KP0), DCID=f9b989f45257667b"
"3829","13.388373217","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3830","13.388373262","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3831","13.388412399","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3832","13.388412429","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3833","13.388412446","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3834","13.388412472","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3835","13.388412503","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3836","13.388443326","192.168.43.128","203.75.52.205","QUIC","77","Protected Payload (KP0), DCID=f9b989f45257667b"
"3837","13.389852273","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3838","13.389852335","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3839","13.389852352","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3840","13.389852371","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
"3841","13.389852388","203.75.52.205","192.168.43.128","QUIC","1296","Protected Payload (KP0), DCID=4d28ba"
