"No.","Time","Source","Destination","Protocol","Length","Info"
"1503","4.234627934","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1504","4.234627976","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1505","4.234628019","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1506","4.234655022","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1507","4.234655069","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1508","4.234655102","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1509","4.234655119","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1510","4.234655136","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1511","4.234655154","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1512","4.234701248","192.168.43.128","142.250.204.35","QUIC","77","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1513","4.234708362","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1514","4.234708394","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1515","4.234708411","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1516","4.234708429","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1517","4.234708446","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1518","4.234708463","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1519","4.234708481","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1520","4.234708498","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1521","4.234723930","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1522","4.234723996","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1523","4.234724014","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1524","4.234724033","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1525","4.234751068","192.168.43.128","142.250.204.35","QUIC","77","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1526","4.234762314","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1527","4.234762345","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1528","4.234762365","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1529","4.234803691","142.250.204.35","192.168.43.128","QUIC","999","Protected Payload (KP0)"
"1530","4.234803759","142.250.204.35","192.168.43.128","QUIC","1287","Protected Payload (KP0)"
"1531","4.234803778","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1532","4.234803803","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1533","4.235101185","192.168.43.128","142.250.204.35","QUIC","77","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1534","4.235715704","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1535","4.235715782","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1536","4.235715811","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1537","4.235715831","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1538","4.235715849","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1539","4.238005920","192.168.43.128","142.250.204.35","QUIC","78","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1540","4.239297815","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1541","4.239297904","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1542","4.239297921","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1543","4.239297938","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1544","4.239382620","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1545","4.239382755","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1546","4.239382773","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1547","4.239382790","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1548","4.239382806","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1549","4.239382823","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1550","4.239459186","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1551","4.239459277","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1552","4.239459295","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1553","4.239459313","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1554","4.239459330","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1555","4.239459346","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1556","4.239459363","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1557","4.239459378","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1558","4.239472045","142.250.204.35","192.168.43.128","QUIC","999","Protected Payload (KP0)"
"1559","4.239472071","142.250.204.35","192.168.43.128","QUIC","1287","Protected Payload (KP0)"
"1560","4.239472095","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1561","4.239472122","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1562","4.239472138","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1563","4.239472153","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1564","4.239472168","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1565","4.239472185","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1566","4.239494583","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1567","4.239494613","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1568","4.239494629","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1569","4.239494647","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1570","4.239494663","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1571","4.239494679","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1572","4.239535246","142.250.204.42","192.168.43.128","TLSv1.3","1058","Application Data, Application Data"
"1573","4.239551044","192.168.43.128","142.250.204.35","QUIC","77","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1574","4.239616649","192.168.43.128","142.250.204.35","QUIC","77","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1575","4.239652150","192.168.43.128","142.250.204.35","QUIC","77","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1576","4.240135343","192.168.43.128","142.250.204.42","TLSv1.3","87","Application Data"
"1577","4.240256088","142.250.204.42","192.168.43.128","TCP","62","443  >  33112 [ACK] Seq=6769 Ack=2405 Win=64240 Len=0"
"1578","4.241210616","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1579","4.241210719","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1580","4.241210736","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1581","4.241210753","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1582","4.241210770","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1583","4.241210786","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1584","4.241210804","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1585","4.241210820","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1586","4.241231720","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1587","4.241231771","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1588","4.241277639","192.168.43.128","142.250.204.35","QUIC","77","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1589","4.241819472","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1590","4.241819531","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1591","4.241819564","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1592","4.244259172","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1593","4.244259260","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1594","4.244318268","192.168.43.128","142.250.204.35","QUIC","82","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1595","4.244502399","142.250.204.35","192.168.43.128","QUIC","1294","Protected Payload (KP0)"
"1596","4.244502526","142.250.204.35","192.168.43.128","QUIC","203","Protected Payload (KP0)"
"1597","4.247210311","192.168.43.128","142.250.204.35","QUIC","78","Protected Payload (KP0), DCID=ecbde96e6ae9724c"
"1598","4.265595798","142.250.204.42","192.168.43.128","TLSv1.3","555","Application Data, Application Data"
"1599","4.266130331","142.250.204.42","192.168.43.128","TLSv1.3","2880","Application Data, Application Data"
"1600","4.266145051","192.168.43.128","142.250.204.42","TCP","56","33112  >  443 [ACK] Seq=2405 Ack=10092 Win=65535 Len=0"
"1601","4.266479794","142.250.204.42","192.168.43.128","TLSv1.3","2880","Application Data, Application Data"
"1602","4.266489317","192.168.43.128","142.250.204.42","TCP","56","33112  >  443 [ACK] Seq=2405 Ack=12916 Win=65535 Len=0"
"1603","4.267370246","142.250.204.42","192.168.43.128","TLSv1.3","2880","Application Data, Application Data"
"1604","4.267379571","192.168.43.128","142.250.204.42","TCP","56","33112  >  443 [ACK] Seq=2405 Ack=15740 Win=65535 Len=0"
"1605","4.268336083","142.250.204.42","192.168.43.128","TLSv1.3","967","Application Data"
"1606","4.269111513","142.250.204.42","192.168.43.128","TLSv1.3","2880","Application Data, Application Data"
"1607","4.269118348","192.168.43.128","142.250.204.42","TCP","56","33112  >  443 [ACK] Seq=2405 Ack=19475 Win=65535 Len=0"
"1608","4.269943170","142.250.204.42","192.168.43.128","TLSv1.3","1468","Application Data"
"1609","4.270918808","142.250.204.42","192.168.43.128","TLSv1.3","1468","Application Data"
"1610","4.270927103","192.168.43.128","142.250.204.42","TCP","56","33112  >  443 [ACK] Seq=2405 Ack=22299 Win=65535 Len=0"
"1611","4.271458878","142.250.204.42","192.168.43.128","TLSv1.3","2880","Application Data, Application Data"
"1612","4.271494975","192.168.43.128","142.250.204.42","TCP","56","33112  >  443 [ACK] Seq=2405 Ack=25123 Win=65535 Len=0"
"1613","4.272289797","142.250.204.42","192.168.43.128","TLSv1.3","1468","Application Data"
"1614","4.273199690","142.250.204.42","192.168.43.128","TLSv1.3","1468","Application Data"
